"line","YDHPL","PLHA","DF","SW100","TSW","POM"
"DAA_093",789.522919151988,54.7842005388867,30.3787214298427,32.8272793393239,231.915029593865,10.2931977911327
"DAA_094",868.318608213507,42.516875271551,29.7122680092958,33.3438484112618,211.367822496533,10.3093470853388
"DAA_095",882.013986585387,54.1688864748374,31.1072150419773,40.6849173091361,276.246193251785,11.0519610056863
"DAA_096",828.922965153488,49.6265002453826,30.4713153889773,34.7581605685043,225.96867852987,10.8246529042258
"DAA_097",906.273203816957,58.1844245302457,30.6761957633218,35.7581764302243,321.766235080309,9.81282968658222
"DAA_098",960.022570511779,51.6808134042835,30.4961744876381,37.1899113855753,284.022902099005,10.7884064994684
"DAA_099",971.361829755489,46.6890235000855,30.5903567260537,37.8718532001579,286.001975480663,9.44708421273451
"DAA_100",933.672083058529,49.1969942075971,30.5926449626782,40.9316905634802,282.571550502709,10.9839038624003
"DAA_101",797.848351180528,52.9339761349012,30.4911733468447,38.3673949830494,221.26226660422,10.1341732696989
"DAA_102",820.711889227703,51.0440207193729,30.4099902614285,35.2992402330561,236.455673836727,9.93016973722958
"DAA_103",937.759642406408,39.624198702663,31.5073358644437,38.0007213449276,212.702712713229,10.0455290342896
"DAA_104",979.401475191882,24.1492215421769,31.2293406496594,37.304903009184,173.451626952682,7.70931484078689
"DAA_105",781.055449586697,50.285731018944,31.0432820020516,38.6976713153988,202.492074661051,10.3257228421075
"DAA_106",1150.02276788886,34.5826768173376,30.5896940237612,34.6758932854878,166.473314631362,6.45850391615257
"DAA_107",755.636739520338,44.6552967386192,33.0894505951395,33.6032955186375,187.432727527844,8.57853389360317
"DAA_108",750.19139740978,56.0190511558511,30.5187241038444,37.2410404463974,207.651153781706,10.0610829187689
"DAA_109",743.116917779647,29.2197004165913,32.3866179632171,37.2639176395801,109.24628307545,7.10851516111232
"DAA_110",785.258704262805,42.992405201739,33.9335782293827,34.2384716325499,190.965998873713,7.64852378054311
"DAA_117",715.619874993395,47.1227392226108,32.4258841367651,34.0498429669693,175.110857899183,8.7684411401292
"DAA_122",860.035036654344,58.4960038135585,29.9226057104508,35.2784390635764,293.440126365842,11.1139032521397
"DAA_126",780.225934612428,49.095555157188,32.9868347579152,33.8723574542215,212.77802411857,9.07711123783837
"DAA_127",796.141686147999,34.425206137161,31.2495125465795,31.8429939010157,159.328757620836,7.68194559673273
"DAA_128",1005.47941600146,26.6358449341991,31.8503417285752,41.507573585557,155.690894087519,9.24911596373265
"DAA_129",1418.43318189081,6.70815255096318,32.7873698888338,38.3892359947108,67.6639237653416,3.77904335432591
"DAA_130",876.568490564822,17.9002421497793,31.1309635142206,34.8755125256324,85.843293585351,4.9637978184365
"DAA_131",906.781621204359,13.2393231312683,32.7574335291179,23.6288921644344,81.6863425042608,3.81206808711086
"DAA_132",935.62099211001,24.9836794116376,31.7202327098083,39.2229414818522,128.123789114316,8.93136506660814
"DAA_133",728.303554249165,25.243568090445,32.4019711790934,27.8927322017723,88.7238399359596,5.04384963036359
"DAA_134",886.917135482112,24.9312435964046,32.1075298994602,34.4294931214496,115.342899363588,6.47604212915824
"DAA_135",972.62448361766,28.2204883324094,32.6455820270157,35.0660144028988,159.281253659836,8.4696911980354
"DAA_136",988.561343765162,30.1856296874441,30.8994978960141,35.718829557784,191.562458694272,9.33923602476848
"DAA_137",719.130941371682,18.0190781245497,33.6034729875518,23.7777137856266,66.625604718086,4.33027421354451
"DAA_141",849.494530589473,52.0500999745206,31.4304568517886,32.291148808387,238.878132200737,9.65021817517547
"DAA_142",828.052892324018,32.8663167994581,31.2475855077315,36.8216526042554,132.711840759068,7.65796442788326
"DAA_143",848.96409010578,39.4347964010434,31.4655945109288,27.0218814632943,209.423111149489,9.89047448446361
"DAA_144",894.411737614984,50.1313831042416,30.7566625960628,33.8865384281867,264.251836898043,10.2378660624994
"DAA_145",796.883120881606,57.0540036156885,31.2678534830478,35.9796765125638,241.305188044374,10.2292131370728
"DAA_146",825.964974168483,55.5301236967082,31.4917946041287,32.8280605360551,255.649705849046,11.0060394856653
"DAA_147",786.794845215572,56.5540427308031,31.0384142304985,38.5358632896808,238.082371617569,9.77305520011867
"DAA_148",961.237433931677,30.2552795670695,29.9341439383566,36.1934182863651,177.191032444975,9.36755006078257
"DAA_149",781.506233193072,57.1654335299811,30.1681154226942,30.8100014814186,224.960580198125,9.80374467712118
"DAA_150",804.222614851768,48.7916935585447,31.082599047036,27.994410528653,204.667088824059,9.84338218347152
"DAA_151",599.771303299127,32.9131945867935,31.0063020651008,39.2868775028554,72.7640164314022,5.44993212447109
"DAA_152",772.833182322544,45.5907743166908,31.1101741594566,36.3169380156533,187.379166026388,9.96000397806231
"DAA_153",769.606084538714,36.7897583137865,30.8887987170562,32.0901477159638,149.780167827225,8.3300672753697
"DAA_154",839.062994423506,54.5624871821554,30.98615414208,35.4118279389729,241.548766734524,8.86100720891103
"DAA_159",808.223404550481,34.7565013120434,30.4909847144983,38.0336878605285,159.242609536859,8.92260698366671
"DAA_166",733.864458445097,31.5883165971438,31.644580505064,38.0123790263546,138.840072441093,6.65869701780134
"DAB_049",838.319756915268,32.9994786088754,33.6357611976544,25.3199500431411,152.199895941592,8.85741380842977
"DAB_052",857.471641745953,46.086263152644,33.8293025142572,26.0872939195663,215.975664792172,9.12754744992492
"DAB_062",745.24451583274,35.515009742068,30.575135467918,30.5910750160479,122.116182501396,8.35661944813908
"DAB_064",766.861517334625,44.0528005965576,32.0253421420093,33.1709966333596,180.622287018077,10.4562813873229
