"line","YDHPL","PLHA","SW100","TSW","POM"
"DAA_062",2342.80683033049,16.4018491262867,37.7756470706943,214.141343637672,12.4672039348149
"DAA_063",NA,NA,NA,NA,NA
"DAA_064",NA,NA,NA,NA,NA
"DAA_065",1995.51384263478,23.7326476492167,36.155749306794,250.306675846424,13.3685387029611
"DAA_066",NA,NA,NA,NA,NA
"DAA_067",NA,NA,NA,NA,NA
"DAA_068",NA,NA,NA,NA,NA
"DAA_069",NA,NA,NA,NA,NA
"DAA_070",NA,NA,NA,NA,NA
"DAA_071",NA,NA,NA,NA,NA
"DAA_072",NA,NA,NA,NA,NA
"DAA_073",NA,NA,NA,NA,NA
"DAA_074",NA,NA,NA,NA,NA
"DAA_075",NA,NA,NA,NA,NA
"DAA_076",NA,NA,NA,NA,NA
"DAA_077",NA,NA,NA,NA,NA
"DAA_078",2451.88904847329,27.621978497559,40.8203918463792,419.979425694152,13.3145638686534
"DAA_079",NA,NA,NA,NA,NA
"DAA_080",NA,NA,NA,NA,NA
"DAA_081",2952.52243796723,9.27083400108056,35.2538793546461,118.935047689235,13.0054592415779
"DAA_082",NA,NA,NA,NA,NA
"DAA_083",NA,NA,NA,NA,NA
"DAA_084",NA,NA,NA,NA,NA
"DAA_085",NA,NA,NA,NA,NA
"DAA_086",2686.58608350846,11.1416747396653,37.0088828890163,191.461843661825,12.6540519099397
"DAA_087",NA,NA,NA,NA,NA
"DAA_088",NA,NA,NA,NA,NA
"DAA_089",NA,NA,NA,NA,NA
"DAA_090",NA,NA,NA,NA,NA
"DAA_091",2962.21470836363,15.8045162907972,34.9916320422678,252.644325035775,13.3139224604745
"DAA_092",NA,NA,NA,NA,NA
"DAA_093",NA,NA,NA,NA,NA
"DAA_094",3269.06156142204,14.2990495520079,39.9152039340641,184.267038287156,12.8216441143344
"DAA_095",NA,NA,NA,NA,NA
"DAA_096",2543.86203213934,21.4833157551986,40.0445518268277,271.598534203764,13.1282883414928
"DAA_097",NA,NA,NA,NA,NA
"DAA_098",3009.27629698779,15.6119348113645,42.5274149840674,254.3354757666,13.2344797584997
"DAA_099",NA,NA,NA,NA,NA
"DAA_100",2588.26935755869,16.4542057195643,41.6072143596049,224.772030610854,12.84991381894
"DAA_101",NA,NA,NA,NA,NA
"DAA_102",NA,NA,NA,NA,NA
"DAA_103",NA,NA,NA,NA,NA
"DAA_104",NA,NA,NA,NA,NA
"DAA_105",NA,NA,NA,NA,NA
"DAA_106",NA,NA,NA,NA,NA
"DAA_107",NA,NA,NA,NA,NA
"DAA_108",NA,NA,NA,NA,NA
"DAA_109",NA,NA,NA,NA,NA
"DAA_110",NA,NA,NA,NA,NA
"DAA_111",1981.21989749255,18.074301480514,33.6760976283313,180.929826061038,13.3515335677229
"DAA_112",1870.2110514619,23.7580624297376,36.1030921725281,236.355903906441,13.4113642825564
"DAA_113",1697.03278841445,16.6298916060382,37.8520140121581,159.232267670731,12.990538544332
"DAA_114",2243.69713067459,16.6825936450615,40.1872599025953,184.041349963687,12.8520588470989
"DAA_115",2024.91043720353,17.0712377532597,33.9644211625115,174.37998143715,12.1806676463615
"DAA_116",2147.39305435056,8.70803346865998,31.7414919524212,104.175103497014,13.077044154895
"DAA_117",1694.1212019644,17.506896772113,34.5339984513305,155.784461221672,12.7191518757045
"DAA_118",2608.07059455493,11.6946365019979,37.4275290272999,158.242326595009,13.3374233259633
"DAA_119",1563.18195360742,23.0225734440721,34.9015936840451,163.213880939113,12.4572718625341
"DAA_120",1886.97297562978,26.6584739009525,36.897366941818,278.318092527823,13.4858063375802
"DAA_121",2095.22550306032,18.5412998715065,37.4402146661531,210.967056368917,12.7895673336296
"DAA_122",2580.02471137242,15.3607941058535,39.6840807585681,254.984545238311,13.1484529057641
"DAA_123",2096.26311635257,20.8459876629192,36.0558395340938,240.812675845343,12.5049873220799
"DAA_124",1871.65839820702,21.3118703710897,37.9172449284416,212.677785742216,13.0046974000467
"DAA_125",1757.49766477602,16.3577438322483,35.5526086576279,126.28756841792,12.1835893741898
"DAA_126",2648.77231701021,15.2347182004683,37.0666471599877,216.674511517845,13.2635373337865
"DAA_127",NA,NA,NA,NA,NA
"DAA_128",NA,NA,NA,NA,NA
"DAA_129",NA,NA,NA,NA,NA
"DAA_130",NA,NA,NA,NA,NA
"DAA_131",NA,NA,NA,NA,NA
"DAA_132",NA,NA,NA,NA,NA
"DAA_133",NA,NA,NA,NA,NA
"DAA_134",NA,NA,NA,NA,NA
"DAA_135",NA,NA,NA,NA,NA
"DAA_136",NA,NA,NA,NA,NA
"DAA_137",NA,NA,NA,NA,NA
"DAA_141",NA,NA,NA,NA,NA
"DAA_142",2514.88045391304,15.6204632990033,38.9896457075549,231.014930317288,13.3209531316193
"DAA_143",NA,NA,NA,NA,NA
"DAA_144",NA,NA,NA,NA,NA
"DAA_145",2317.63373466732,18.5739027833395,38.7590609144412,240.200632668104,13.0259766884886
"DAA_146",NA,NA,NA,NA,NA
"DAA_147",NA,NA,NA,NA,NA
"DAA_148",2188.14746914791,16.0983609462535,36.5630606035392,182.828399771756,12.7492434593644
