"line","DPM","DF","PLHA","YDHA","YDHPL"
"ACC_024",63.4869559197746,32.485602388386,33.2286869601963,1676.28645248988,1612.99184316882
"ACC_025",65.3474948259391,31.9088015440005,39.1235817610035,1467.68491821985,1276.34031600624
"ACC_026",64.4294910036608,32.6219398336111,34.1653821909453,1748.29797585717,1693.77099953958
"ACC_027",65.2984337360864,33.6794468656897,34.5470657491794,1767.20723857608,1532.50140965383
"ACC_028",63.0912100295084,32.7729443249165,40.8640595706815,2260.29128220598,1722.21762691256
"ACC_029",62.7415824975865,32.1649028987091,35.2232300806758,2144.91247769133,1836.42105405777
"ACC_030",65.8976404880485,34.0238991493113,33.5283870579585,1779.62452678626,1738.71970626259
"ACC_031",64.3419636836297,32.1297576339568,39.3113871963368,1794.62406144119,1559.64781601881
"DAB_001",64.7679461752453,35.5633495496671,30.8622287272893,2527.70830952683,2229.93204284167
"DAB_049",64.833159435041,35.2251038856851,34.9954393978517,2030.76861614411,1841.3446225741
"DAB_052",66.4467330687937,35.288690005395,37.551433490667,1990.92186133521,1720.98318966949
"DAB_053",63.3137443966089,33.5687269220025,38.3264892648227,2020.83480869341,1745.43096919697
"DAB_062",61.7959137610939,32.6864944784349,35.8845462433041,2104.57236887477,1916.00577795848
"DAB_064",64.8704611570643,32.633371548692,39.881093987899,2016.36450721843,1707.5192545064
"DAB_065",64.2815827698845,33.582956617452,37.5148994888944,2226.26165658373,1839.28542455933
"DAB_066",65.6071714478871,34.6115074339566,36.8549529315868,1872.75263663461,1683.54977860281
"DAB_084",64.8443702878449,32.9615957628871,36.8604323187265,2127.96356687663,1885.21926573709
"DAB_090",62.9312427201941,33.3539368018839,39.9304807299406,1971.48634064257,1556.68423327468
"DAB_105",64.7683036146226,32.9934944350291,37.7279563121813,2072.68444266678,1948.56192398323
"DAB_106",63.114521990296,34.2411572970944,36.6698419335055,2082.66781005315,1795.37373807868
"DAB_109",63.0228940090696,33.0123486272064,36.0179089001229,2240.82408922914,1771.07935739026
"DAB_150",63.4485156656493,33.1257836646808,34.6806039440526,2062.9320842965,1911.01421961899
"DAB_158",65.6037975004296,34.5780794143915,35.5267357787247,2013.36805964109,1742.54679916429
"DAB_159",64.5833848744472,33.3391135081913,34.5492330457123,1527.11531859899,1448.96314571166
"DAB_187",62.124683684683,32.4768904521827,39.813368812591,2261.38312771769,1771.82637919359
"DAB_231",63.6029434193995,32.4415756830531,33.6543706733658,2133.15971144098,1981.62429439148
"DAB_233",62.6085487135319,32.3386633953073,35.7030983466752,2156.25922288957,1901.08293317526
"DAB_236",63.3453206473413,32.3005262757444,37.4468144902779,2106.45795894162,1860.23881595267
"DAB_244",64.4911659143207,31.7760655067016,39.5059021417482,2101.7834063135,1734.36297150278
"DAB_251",64.6165450570143,32.8107013175867,36.3928023338318,2093.41120015267,1831.24621745062
"DAB_252",64.5708671699902,32.7008223182942,40.7375118608624,1807.87818118353,1438.47485825958
"DAB_256",61.7184638272197,31.8085623019561,31.6928231063593,2071.92106461473,2063.21662288104
"DAB_258",63.1742779153371,32.6590630447604,37.2896732688285,1873.58650830535,1699.27749638149
"DAB_267",63.8886565389516,32.5399861101513,34.1809169115392,1961.36485741326,1807.32982158346
"DAB_277",62.5970145929428,32.6199526456402,30.6355523900113,2032.59036477644,2061.43230838768
"DAB_295",62.7219594615828,31.978651647502,32.6773496259774,2377.77948947012,2274.79518793735
"DAB_344",60.5583823090499,31.6368908086078,31.9092506148406,2042.06120045118,1866.1187832856
"DAB_353",62.5079742180745,32.1374045659749,37.9767033839452,1854.69742385695,1540.34068457227
"DAB_366",62.484337141874,32.8458060948722,37.2921875209647,2266.48210062261,1961.93542005869
"DAB_374",62.9630684604641,31.5356896447662,34.1272521147197,2267.17708764243,2147.76514857164
"DAB_380",63.3023956441074,31.0273512614097,33.6740270521453,2074.41243275398,1983.10231535523
"DAB_384",62.8609465045878,33.637733534741,29.6077515340229,1824.67969611524,1933.97264776957
"DAB_396",61.4615067793786,32.8681823277449,37.9805445812566,2159.81857758813,1852.93405178365
"DAB_398",62.6670247760853,32.6725142635666,34.2497824585072,1969.0516227707,1771.41701804112
"DAB_402",62.0951367915172,32.8285955136754,31.4911483428106,2110.09762909001,2109.11745118984
"DAB_441",62.636066996384,31.55139258296,35.0965695835833,2288.51761576978,2032.14432797419
"DAB_489",62.3121874703702,32.3039984496211,35.4205491555855,2091.40024604257,1814.05361928923
"DAB_494",62.4373850318624,32.1598634911693,39.1034759716036,1946.61468520968,1656.5582695239
