"line","YDHPL","YDHA","PLHA","DF","TSW"
"DAA_013",1570.82364756282,2075.77306111168,27.9756457223967,37.9800882018679,194.279026982308
"DAA_014",1941.01705678339,2570.6423734708,27.9936657134094,37.6933225450759,239.711520471439
"DAA_015",1563.52561177357,2312.1557529637,28.0533304697475,37.3744565477819,215.380539210198
"DAA_016",1492.99882156237,2242.10256571908,28.1529744211825,38.3351684093474,208.777484242185
"DAA_018",1636.43187576939,2284.70320192486,28.008388725595,38.4926386409103,212.840090702916
"DAA_021",1556.72677314589,2344.3583570699,28.0975546014418,37.829567977098,218.914413681917
"DAA_024",1658.19074206579,2690.01224295333,28.1175219690972,38.0726724156657,250.633208667158
"DAA_027",1449.13135316464,1936.77948968674,27.9969994526902,37.8062293103101,179.544937447275
"DAA_029",1770.09160081914,2629.0205643765,28.0317765270861,37.5150507051451,222.401941054003
"DAA_041",1457.14476390921,2052.76978529261,28.0367728604329,37.7214419852232,190.467663360444
"DAA_044",1656.57214491856,2415.01940922397,28.0477029325085,37.547438162874,225.221920763
"DAA_045",1600.86959005435,2701.6777383821,28.1456782481836,37.316574511271,251.487099873249
"DAA_049",1583.21241580622,2212.13939075204,28.0170143821872,38.174865049354,206.150173368265
"DAA_051",1493.86140607583,2104.44200483778,28.0268089185846,37.7904810593849,196.85029617769
"DAA_052",1460.52897095632,2198.53434012398,28.1042780981143,37.8980876526558,204.8580560557
"DAA_059",1742.48329700607,2624.88775282502,28.0386489566236,38.0358376640189,244.59116903088
"DAA_060",1642.50625154779,2219.88337924521,27.9839818407029,37.3054020370883,207.035074748832
"DAA_062",1495.51354019363,2099.66401987205,28.0301847366621,38.8500337483892,195.746497574591
"DAA_065",1576.04195701816,2084.71621878327,28.0047774326546,37.5269416977182,193.531997013802
"DAA_078",1567.25170293599,2400.0655589026,28.1068480778602,36.9841368935598,223.399927342042
"DAA_086",1427.44272149996,1939.40912651768,28.0330593354897,37.1065725135008,180.982228595292
"DAA_091",1657.35953899775,2460.00522957762,28.0714342626882,37.3874704360894,229.031815354489
"DAA_094",1473.30734250863,1966.85502238001,27.9974714531786,38.3393993302833,183.142910120277
"DAA_096",1695.23668359866,2270.42897690372,27.9847171068823,38.5062467682471,211.120102328513
"DAA_098",1856.48399744946,2857.32335716127,28.0533610168806,38.0990283143052,267.232725137715
"DAA_100",1646.84197948619,2331.33854014519,28.0126456609964,38.7802980147888,217.101004120602
"DAA_111",1500.52660694645,2014.36269120699,27.9905999029238,38.204251677769,187.718925074637
"DAA_112",1418.59465541932,1987.75333579135,28.0443086134053,37.8127878574152,184.625048017008
"DAA_113",1851.66886798614,2521.70378856837,27.961347212394,37.0335827397772,234.836240958634
"DAA_114",1342.75794051721,2130.86519543099,28.1594752958111,38.046873010335,197.922494766783
"DAA_115",1296.27549777261,1837.72022310456,28.1125213635131,38.7790338484221,171.807448648978
"DAA_116",1488.8583124852,2209.35612891115,28.1105885426719,38.4854323035035,205.915324296043
"DAA_117",1492.60003932954,2169.2402070696,28.0791537192729,37.9754893868576,202.06967968597
"DAA_118",1428.6172527684,1820.15537203002,27.979940565468,38.8489047716963,169.201926538384
"DAA_119",1327.77006007257,1786.11156512421,28.0603541800736,38.3382475027832,166.174469106563
"DAA_120",1370.15052312108,1924.48678602722,28.0733948079001,37.6102664563041,179.335977342779
"DAA_121",1539.90768541518,2173.87241472834,28.0165897298944,38.1029536229868,202.766464769299
"DAA_122",1404.34168610439,1975.52964883903,28.0770968630163,37.5578410658009,183.425808414037
"DAA_123",1509.41993026998,2167.56206713231,28.0261836590578,38.6624428932307,203.007563707331
"DAA_124",1515.81463584124,2052.47004139789,27.9977937669573,38.4998190199076,191.269638504638
"DAA_125",1541.10887235445,2345.90388386663,28.0813550503277,38.040659856726,219.24546147053
"DAA_126",1568.48876026821,2151.56631986782,28.0049951862227,39.2401463091425,201.896573527189
"DAA_142",1580.30314250638,2237.06598037018,28.0615815024294,37.9704668414125,207.447444779645
"DAA_145",1493.35619932516,2462.97632031377,28.1453773761207,37.9611077644688,229.07197599177
"DAA_148",1627.70583658368,2368.49011830357,28.0443510685787,37.6468294933223,219.897008955269
"DAA_151",1626.14163778537,2352.73520873247,28.0210947648495,38.4263231309326,218.649497107941
"DAA_153",1539.65692056739,2241.40917611296,28.0797952666179,38.6897339280142,208.596100764815
"DAA_154",1465.14661978802,2141.34637336578,28.0690464345141,38.022542862996,199.044574181449
"DAA_159",1433.89025785131,1906.84557632762,28.0003471513149,38.1247350130179,177.633353767809
"DAA_164",1575.09497153754,2237.53511834272,28.0207405799731,37.7490784347805,207.85565498188
"DAA_166",1626.94773193758,2228.84265879817,27.976905390783,38.1511260815147,208.834580714601
"DAA_173",1415.27505145884,1976.82201285065,28.0828884758473,38.5330194732572,183.967816147708
"DAA_175",1419.40784077114,2257.04447202909,28.1967071346954,37.4727508438336,210.392345063274
"DAB_049",1815.82788762564,2614.63017625315,28.026915039737,38.519059696689,243.762835041209
"DAB_052",1748.92765152957,2827.81162461849,28.0983420365358,NA,264.150291220227
"DAB_053",1528.66890832577,2205.27463729328,28.1051625006619,39.0841926076398,206.554982898912
"DAB_062",1799.1335564648,2678.05514383272,28.0637763485457,38.6458561600825,249.780239629951
"DAB_064",1301.89946231121,1769.28829383935,28.0732367143555,38.3873741932944,163.87944587741
"DAB_065",1445.76553605461,2200.13601253774,28.1482524844012,38.4173316475025,205.688503050117
"DAB_066",1632.85332763729,2574.04915158383,28.0942974042393,38.6775265912969,240.877312536701
"DAB_084",1688.9271044568,2840.5764709548,28.1594472404776,38.0173900715375,265.566134417968
