"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW"
"DAB_258",2032.13991252366,1652.13615553514,48.0425876744713,30.7639762801029,62.4478632680007,40.845329064103,512.221971039748
"DAB_267",2321.83241960516,2045.59000541573,50.7306439093196,29.132386346678,61.0397058954114,42.0373088221857,638.280501630987
"DAB_277",1879.72961102163,1668.11038481975,54.0219259945004,29.2500440481227,60.1898641451607,41.2807423952547,542.687757712936
"DAB_295",2367.28537063895,2166.45442520264,48.7642285359238,28.4487406951809,61.8509470482546,43.5539716450519,604.11962954844
"DAB_302",2270.00730685165,2156.22856757318,49.7782653596877,30.3476342399501,63.0864728231983,46.2510545054815,627.868555224378
"DAB_317",2569.9414972323,2544.08841725775,43.8681987399093,30.1485406896499,63.5379933470445,43.047552805415,532.461844660967
"DAB_344",2277.87549815774,1895.69743736857,47.320513889154,28.3934317335001,57.8661484495748,40.5744781353984,571.621761111661
"DAB_353",1903.46597159851,1574.75131822505,52.0926128871295,29.2507435467003,60.4599296528038,40.2943904989226,528.213109761046
"DAB_366",2237.20941175352,1988.5986327551,57.669242349153,31.0673933981291,62.8215840464249,43.9835787506543,675.890664633429
"DAB_374",2651.41465707281,2009.94645789571,48.9485350382213,28.802713254485,60.9540901218951,40.7842513866013,647.813665080133
"DAB_380",2372.6688744242,1925.19567341567,48.990479430102,28.9779763059565,59.2602918483457,46.5959297851594,634.528595196112
"DAB_384",1842.31364206561,1498.1053116169,48.208322653597,31.2060852199019,61.6484090099201,38.6433194636175,466.99433652308
"DAB_396",2217.87453664224,2066.15076599469,54.0841436263322,30.1083737476414,62.5611173557789,42.3075859202713,666.953615449876
"DAB_398",2454.49245660446,1894.2303958474,47.5742413314974,29.4886367628241,62.9640891173692,42.9068301148788,621.579318906021
"DAB_402",1990.33310610756,1973.27598799965,55.3168459424681,29.5568604596871,61.709067659237,47.8435901054849,643.139094302794
"DAB_441",2644.98125620853,1948.84382699147,47.3300704750761,28.7044961475993,59.1061842526442,43.6446184246897,635.527770572974
"DAB_489",2063.72413624529,1608.93632940719,48.4214350812635,27.5459590452526,60.4147418460865,41.9055770101292,534.870723074728
"DAB_494",1891.36931895876,1678.23459895627,54.9680173174621,27.6490741352248,59.3036308422507,41.1344464482904,568.115261680486
"DAB_514",2719.49975997493,2457.88368080233,51.3749228890757,30.391265853873,62.0213781340527,48.5086464067925,773.707118444005
"DAB_520",2110.97231270677,1674.04827640837,44.874977276619,27.7643792943223,59.2411481667785,40.1479010669074,488.278147870343
"DAB_525",2036.58574327399,1971.06181069417,51.4245511853592,28.4858881039303,58.7520726196996,40.4919210979863,569.447561364203
"DAB_528",2634.33326316478,2052.43088308767,44.4967089095346,29.1879971511051,62.055415101503,43.8998329708849,618.11883098832
"DAB_534",2209.49254790954,1800.90287969744,49.1456448363088,27.6641309999679,60.7178580863268,42.1388102555487,580.5486959857
"DAB_541",2273.54400300319,1826.38815181389,50.3107881854333,28.3500883062933,60.7540676920097,40.1594490293279,601.330696551145
"DAB_545",2593.93962701436,2047.43396790289,49.5356245847923,28.1922842910768,60.1373055590907,43.886941346628,665.748822592326
