"line","YDHPL","YDHA","PLHA","DF","DPM","SW100","TSW","POM","PHI"
"CMB_057",1879.11358047433,2339.01732731922,27.3892903231119,44.0139920422396,83.1465680071069,57.1007306202841,275.123836224741,11.5866864889008,76.3450318083107
"CMB_073",1659.17641163923,1997.88951561082,27.3211691797102,42.6136254296644,80.817315025818,53.0917664972684,240.017769300304,11.5915566179327,73.1821569694291
"CMB_080",2007.15379680471,2318.27280381197,26.8294097806657,41.5407700671471,81.4486081585285,50.1533572845627,273.639124004639,11.5900978269019,74.286727908549
"CMB_095",1987.20411849964,2513.96623775845,27.797396553754,45.170264342943,82.3538783044315,50.0123041797387,294.464249195675,11.5889231233958,72.9147379595725
"CMB_103",1874.24084130191,2164.55219208097,26.820054974638,41.0079582816563,82.0543195037252,54.9716773793064,261.460377518261,11.5940781242224,73.7178110301786
"CMB_105",2263.36061062305,2695.90176433079,26.82245927083,41.5328013483622,81.9712415508371,58.1314729601596,319.750480966773,11.5946508237476,73.8128292033032
"COS_016",2169.79564235799,2677.66093782491,27.8546409577721,40.1334240982519,81.4757878959554,48.746217339128,345.533430324573,11.5793809618491,76.4918944405748
"DAA_001",2183.24279312611,2992.25590934897,27.8096474148432,40.4758764609356,81.6366345694621,52.5557913009451,347.1229403009,11.5917199056566,76.4334753089895
"DAA_002",1803.52144601054,2255.30988259204,27.5669221676476,41.3179686729954,81.2768645779463,61.3738044509458,263.607198676015,11.5895261049897,76.1036228633753
"DAA_003",1801.0002436591,2097.20525380401,26.9946249523914,41.7834502730657,81.279136282351,53.9756585204492,249.649065644637,11.5880771661431,74.8092156555959
"DAA_004",1568.79777110596,1923.72411128166,27.7875644442308,39.9153120082524,81.7045968473029,47.7056746927591,229.09719344739,11.5869910638485,76.773449220024
"DAA_005",1871.70825847487,2478.65056424346,27.7991267633058,39.6244759240934,80.6944067428473,54.1152148242773,287.65891476313,11.5849791998945,74.2480585571379
"DAA_006",2111.80970601597,2368.64640584437,27.126679289057,40.7858758741478,80.8972246955121,49.5701486965924,308.554875019114,11.5887066446043,78.5430977762531
"DAA_007",1892.43262267025,2422.74546724839,27.6098688659441,41.0350713046796,81.1355650118036,50.7208229455166,282.70224524737,11.584854252664,76.5702637371077
