"line","YDHPL","YDHA","PLHA","DF","SW100","TSW","POM"
"DAA_043",2087.79158952101,1829.76636736996,37.181050262357,29.6519611752513,56.4073789215655,405.748725588951,13.6087111476445
"DAA_044",3507.17204178356,1800.30669522056,19.7847403891747,30.5214976144665,49.3716668342419,397.630423619318,13.1933126013443
"DAA_045",3042.86139116091,1907.92163440686,24.3495887650793,31.1197250761202,60.4750035752355,418.378270392459,12.8525217463263
"DAA_046",2497.9351542373,2639.28487850427,39.2772319240279,31.134312227029,58.5198757333431,591.695973033299,13.9419551752807
"DAA_047",2520.28237812809,1932.10123918636,28.0664066105528,31.6576615112982,58.1592844160489,427.253520951024,12.5128788342549
"DAA_048",2135.40337401236,2064.33635234084,39.7052949539122,30.9281538220134,57.5022939530318,454.759262332618,12.961528324013
"DAA_049",4151.64816553007,2194.44673500442,18.7030006828517,31.9682482465703,51.4212727210794,493.963019764492,14.2723496708339
"DAA_050",2176.24121386703,2135.2895116028,39.7775822003718,30.4349417103406,47.1682216545871,478.146968614603,14.0112227364983
"DAA_051",3936.89064473191,1822.09253141241,17.1801144892556,30.6191102397463,47.2639099201937,404.706572159277,13.8471021430343
"DAA_052",NA,1285.22458115254,9.48905282024906,31.1437153874402,48.4674267722834,282.045333167335,13.2393690108504
"DAA_053",2241.08230900921,1941.7139987845,36.8095594670428,31.9050477465358,54.7963567740139,433.49296567392,14.1137955809992
"DAA_054",2250.00430780819,2439.00661002605,43.5963903544624,32.2420766979696,59.5875214808103,546.245417783807,13.9556560690385
"DAA_055",2417.16810106869,2112.52408217098,32.0998493390403,31.5745187558352,49.2030639756798,470.700570825594,13.6568531359694
"DAA_056",2254.25134791135,2128.5915444385,40.64138478432,30.7901861656731,56.9245333445683,472.931657731414,13.6505351429117
"DAA_057",2184.84954820301,2021.03719715389,38.2005817795869,31.5397695147427,51.4913386152018,450.232144458852,13.5266972104747
"DAA_058",1828.91339814047,1965.32450561654,39.2234027576135,30.6465501789616,55.3939537045495,433.957742224599,13.2018412298362
"DAA_059",2368.31260694559,1529.45959870505,23.0114318294446,32.3324656884312,44.2689728217062,338.920346363944,13.9526703556456
"DAA_060",2699.94952866805,1859.64437937237,25.9973307080149,30.8685416842879,48.2981958697495,412.067210858218,13.8745655828097
"DAA_061",2247.59754033844,2016.26948118785,35.4890337175311,30.4264590878196,42.9011741326143,451.279646878245,14.0804336724451
"DAA_062",4373.7004433605,1650.80437228679,11.5171631031072,32.0194650189856,52.0327584264223,365.162128135256,13.4997709448129
"DAA_063",2385.32445729056,2055.03523198467,38.7882600598584,30.7814350484612,57.9098517692415,454.596863924994,13.435854660567
"DAA_064",2046.98621413572,1869.84899501485,37.9543819675375,30.8031981997194,44.2454872979167,415.860990045201,14.0656620744307
"DAA_065",3784.95962662005,1464.60100828733,16.2846100428448,32.2053075485068,45.7023007227859,324.893172857363,12.7667684183516
"DAA_066",1968.9912030259,1970.32066222699,36.6462456579456,29.8366230166015,50.7843431133012,436.707169868386,13.5041272361508
"DAA_067",3100.59897588012,2481.86733210257,32.3418890033795,31.4240732666074,60.5615459347455,553.564793728592,13.9864612055879
"DAA_068",1984.85328157593,2003.06543896241,37.1423603649576,30.5243013018258,56.2395712291267,441.466379981021,13.1751819664452
"DAA_069",2529.64326954923,2425.97047339277,38.342330536172,31.8041591973132,58.5467608575255,534.611891786731,13.1285211314758
"DAA_070",2312.56228273703,2302.28930683878,42.911974949968,31.3767752539753,56.8347586235336,512.89274825049,13.9492823361468
"DAA_071",2413.94227125332,2017.53041324707,33.4774695064845,31.4144032322031,58.7391080484219,447.187131671039,13.6148260117049
"DAA_072",1981.36907913663,1727.49008861582,36.1036255065303,30.8822721549339,54.1432696907765,382.674348340834,13.6128398138028
"DAA_073",2733.24448940189,2242.06861114434,32.0484416285148,33.4454691698775,47.1568949025532,499.553194761734,13.8113753816222
"DAA_074",1935.02840326168,2163.40247452081,41.5853017407474,33.0251978836679,45.1791653578278,482.438048972919,13.8881791794304
"DAA_075",2260.62174005425,2074.32651121162,38.0453522846403,31.2809894912133,50.0610478224186,460.521626508284,13.709630849191
"DAA_076",2384.55646042599,2288.40685361886,38.1732155835653,30.8384196880263,48.4924713252277,513.084266384409,14.0681754816582
"DAA_077",2032.520625665,2220.32208010476,42.627609787968,30.8458190992959,55.0393138670589,491.226450827292,13.6874125625234
"DAA_078",3727.91482696189,2269.50590073707,24.3966022717143,31.2008313035632,53.5333711922566,508.469166740462,14.2134067832034
"DAA_079",2416.93936093265,2143.79818596202,34.5361709107341,31.4757077455404,48.654766239142,477.41264369295,14.1643836038267
"DAA_080",2659.93419657906,2540.97105184285,40.1818371302054,31.3674558931666,48.678073296383,568.041245289296,13.9092169237009
"DAA_081",NA,NA,NA,NA,NA,NA,NA
"DAA_082",2000.04757619145,2006.18203046829,41.8050664936027,34.1292679956062,53.4369955116119,443.1299809171,13.2903941660995
"DAA_083",2348.75023165506,2111.6893141021,35.0458111327459,31.102536532995,50.288198898247,467.065922896287,13.5164238699457
"DAA_084",1943.13374447846,2013.05509350799,39.5181246691594,31.8647452719587,57.0671980023442,445.078167610494,13.2410660581141
"DAA_085",1890.63137416653,1805.26718375656,33.9596006329365,31.8510126562753,48.5545872629003,400.832292334687,13.635974496072
"DAA_086",4433.78552565953,1886.05496557705,16.1079484640903,30.3060918594405,52.003228250536,416.78520159318,13.5076299873466
"DAA_087",1964.163234175,2074.94527125172,38.9309175544578,30.7699084620834,48.9794864321359,456.758068922776,13.2672590352411
"DAA_088",2468.87155164054,2704.81835344799,42.2410584615626,31.3713560943556,57.4991483209217,600.445134466804,13.6960005017018
"DAA_089",2714.26256031862,2632.02143780862,41.814759805627,30.6314242932347,56.2086069543596,581.024821871891,13.8178608440013
"DAA_090",2300.88115311733,2101.31774421834,35.0494419461131,30.9673201072006,43.7979656268918,465.630366018617,13.7664960804848
"DAA_091",2808.53094901381,1705.76288189847,22.1966408054708,30.7348076994085,47.685571390434,378.987914570918,14.138413192809
"DAA_092",2390.97660838272,2325.79060272387,38.4148138563849,31.5033998424282,51.1570748055929,512.670974081356,13.1930401704765
"DAA_093",2435.80106663542,2325.25944596022,38.8726839560566,31.0810784332619,50.2811269116572,513.799671004445,13.5076808394997
"DAA_094",2896.15922246423,2192.17110302594,29.3887446950507,31.0339788712876,58.1682221137399,487.327752045917,13.6362962600206
"DAA_095",2303.43043019239,2311.98759447808,36.2451883038961,30.6174117748824,52.4247178917195,508.244405296493,13.0186829549745
"DAA_096",2823.5775721408,2071.25952080386,28.1584506717122,31.4605635861275,54.2955910897521,456.448680246129,13.514131396106
"DAA_097",2559.68656373625,2039.27944098437,31.5754385088814,31.0412455805326,54.5462281898092,454.18757987526,13.9435113639259
"DAA_098",3788.67399514603,2226.78069465365,22.8059161292711,31.7567958329125,55.8393436739258,490.080523744875,13.3480088565398
"DAA_099",2159.81688094914,2147.42744209277,37.684239160942,31.8113628247407,55.9388416657632,475.561121811954,13.6323212869635
"DAA_100",3301.47638289033,2188.08758344262,24.608631475454,32.2796502589729,61.8232677434474,487.774871391551,14.2931972407932
"DAA_101",2408.06546466379,2311.78299782275,37.0823699442288,30.9279809368821,51.8600275102803,515.285020141418,13.8076542740739
"DAA_102",2042.02807225971,1779.04350817276,32.4656619471872,31.3743145779144,50.0507736439899,397.5377274765,13.5115719147202
"DAA_103",2152.91506218071,1950.94878302231,36.0350679303927,31.6768274080255,49.8221424292749,431.045498148266,13.4150722066513
"DAA_104",1734.04514486847,1458.70537631862,31.7586035263121,32.3438664602427,45.4161518504436,324.351124537347,13.7927144032708
"DAA_105",2258.21338221283,2245.69047619051,39.7764658877336,32.3372228968853,55.2642925344474,495.666985783369,13.5870977004318
"DAA_106",1565.20775451796,1696.94843828893,39.6348231422767,30.8578926993572,58.7072941635533,369.90605736107,12.8930084798345
"DAA_107",2222.69589548775,1974.42322388852,36.0601869027799,35.0310418684457,48.6075980235909,442.1920755022,14.1687926229877
"DAA_108",2527.84386445572,2229.18591946213,33.2942402354118,31.7161148402983,52.4306767663906,501.448643778963,14.3445606317026
"DAA_109",1929.45894756587,1557.65588357051,28.6249221372625,33.5958032312314,49.5532940714016,343.368549953138,12.1733611416297
"DAA_110",2069.99309331483,1994.84892739015,36.8045194238342,34.7506792427043,51.0932263924841,440.795107721083,13.6056759705592
"DAA_111",NA,NA,NA,NA,NA,NA,NA
"DAA_112",NA,NA,NA,NA,NA,NA,NA
"DAA_113",NA,NA,NA,NA,NA,NA,NA
"DAA_114",NA,NA,NA,NA,NA,NA,NA
"DAA_115",NA,NA,NA,NA,NA,NA,NA
"DAA_116",NA,NA,NA,NA,NA,NA,NA
"DAA_117",1596.92965040244,1329.8669927553,30.5215589054995,33.7985719380942,46.0189773754839,294.011300906985,13.0128683086155
"DAA_118",NA,NA,NA,NA,NA,NA,NA
"DAA_119",NA,NA,NA,NA,NA,NA,NA
"DAA_120",NA,NA,NA,NA,NA,NA,NA
"DAA_121",NA,NA,NA,NA,NA,NA,NA
"DAA_122",3091.3024364303,1736.25940866246,21.3372792158664,31.52076703474,55.2858503255887,384.032955308549,13.5537912380152
"DAA_123",NA,NA,NA,NA,NA,NA,NA
"DAA_124",NA,NA,NA,NA,NA,NA,NA
"DAA_125",NA,NA,NA,NA,NA,NA,NA
"DAA_126",3074.71296705202,1781.82274284667,21.7882224666239,33.7767628849496,51.7259957928431,390.832263114411,12.7316214556817
"DAA_127",2007.28610010561,1841.47643559758,39.1576416390086,32.148507971509,54.424781140986,405.74107786411,13.2597642726846
"DAA_128",1996.50660066907,1476.18547481331,27.7866133176548,31.923416451,57.7167165073736,325.893849156715,13.0518630341287
"DAA_129",3957.17867764455,2607.66463528938,25.0516331836243,32.5324804184612,53.2297819936795,574.575854172453,13.2336629188777
"DAA_130",1920.63716426659,1411.43572551276,27.7758339198382,32.1910550671834,60.9480210823152,314.14295126283,13.9466834838405
"DAA_131",2744.07955459362,2240.37525096213,34.2750571381316,32.1850723449562,51.8752002400995,494.460953862355,13.6542700032008
"DAA_132",2095.15111621144,1976.03083298576,35.304177018776,31.7823603212087,57.0830993455605,436.892296107196,13.8819844606518
"DAA_133",2189.65506941207,1433.2795091721,24.3530601791594,31.8149978612672,47.7868395206121,316.357556978578,13.7221834260124
"DAA_134",2062.60897523517,1844.0148171903,32.2164736238009,32.2137603718682,50.3256862661898,408.280679609673,13.5792772453011
"DAA_135",2147.2440786956,1814.36828685303,31.4795082309343,31.9789688247629,53.8781369460354,402.789410166268,13.1717399699493
"DAA_136",2480.21537698646,2421.09436352716,37.6687306592874,31.3199193127263,50.6786856097673,528.669903320269,13.0570703581917
"DAA_137",1721.37833327328,1703.4092913127,39.017258496033,33.0585056199445,48.06614119379,379.194702404232,13.971720806233
