"line","YDHPL","YDHA","PLHA","SW100","TSW","POM"
"DAA_094",1085.77288692532,973.663980511116,21.2573352436056,28.6907997869618,144.102830307475,12.1568109954951
"DAA_096",808.95729218249,895.325383862462,26.0982972819389,26.611005586446,120.750598235296,12.0753196036282
"DAA_098",1381.91416545365,1219.00680224858,18.2305393361315,26.7785822194565,153.310118272494,12.2921336214351
"DAA_100",1231.08484932191,1006.32310575658,16.2817232301144,29.259555580289,92.0456077952604,8.94345242915346
"DAA_111",871.894683992439,1021.80602214215,18.8498395235343,21.7648712585139,54.99026482863,4.97858586730924
"DAA_112",633.096096264346,714.707764111886,26.6644624173303,25.5576355544794,84.4218192041393,7.63223369622856
"DAA_113",526.770966268143,642.467696898061,25.3348467319383,25.8333379654553,69.3989375430058,6.97751709549128
"DAA_114",562.258801395324,576.924983897498,21.0265335422323,25.2012197413669,54.0587405721462,5.58412374698524
"DAA_115",501.363214933845,541.854770847769,15.6808133820231,20.0590431506109,34.3613708367581,3.33433235060326
"DAA_116",703.521064871662,812.880544797072,16.4934826102069,21.4921015572726,62.8277441840186,5.0639712707199
"DAA_117",396.332866575194,504.247108329179,16.7775018219289,21.2242770912182,15.0932152040552,1.87600436462268
"DAA_118",1510.48574890753,1019.78653860273,14.5345671678639,27.0919854395067,62.2773385301724,6.05403092641705
"DAA_119",635.575267268121,752.051574424386,17.0556117240499,22.3841090832096,55.7522433462008,4.7534299946414
"DAA_120",687.046046940355,777.849640237557,31.3285753218326,22.5724721640351,124.330275793075,10.5660625488695
"DAA_121",667.521620869523,810.242089720168,18.6991477422939,23.5825753166192,64.4155378627766,5.13629550411247
"DAA_122",1037.91541258494,993.329933102811,23.6301020400406,28.5400322997783,149.581912818776,12.6719616532974
"DAA_123",709.479394994008,694.784089012041,26.0749246163432,23.5836767923436,99.3048384607945,9.1441019502042
"DAA_124",647.089997815107,736.685438379784,26.776614042827,25.9270174113244,87.1111397890148,8.11529212458649
"DAA_125",532.098294524773,628.645134137547,14.1673606941228,21.1245065616962,40.4169783192128,3.18574626402439
"DAA_126",980.151674440182,1152.91499775848,23.3465737382557,25.1344016769475,125.570576415614,11.532358778442
"DAA_142",776.345273335427,806.992344313572,24.3012316449734,25.7351149342355,107.638510804726,9.74146711170761
"DAA_145",907.350440719394,1010.7431895313,29.7081972121179,25.73526273883,160.681920846721,12.2011299956734
"DAA_148",947.658559775665,1055.37678229482,24.42599930771,27.9412867620348,135.716089083657,11.3537973758324
"DAA_151",665.300153935508,805.046816483978,25.7661122550431,25.4738843982011,85.2537697074134,8.85498980725738
"DAA_153",726.50408980483,885.991003738401,29.9187123110556,22.1360096296558,126.026446865685,10.2847266029204
"DAA_154",666.429208864757,780.513453793421,31.0319883639079,23.6427931655124,127.519818972226,10.9714781069045
"DAA_155",757.499357316362,796.012601982053,32.477647823091,25.4298709948022,152.474968332676,12.923783629
"DAA_159",749.63334888349,1046.7920999172,26.2469231413493,26.5052133504184,118.850114318158,11.1316547826547
"DAA_164",699.068184166154,762.031696529365,18.1210880931297,26.9074454510445,50.7980958902398,5.57749980565126
"DAA_166",698.093315065957,763.785862627801,24.1663405084512,30.0753186826035,84.0828775322522,8.08897261529814
